Confidence Value,Gene Name Interactor A,Gene Name Interactor B
0.83,A4GNT,ARF5
0.83,A4GNT,RNF167
0.83,A4GNT,POTEF
0.83,A4GNT,DIPK1A
0.83,A4GNT,ICK
0.83,A4GNT,PRXL2A
0.83,A4GNT,FAM3C
0.82,A4GNT,ABHD14A
0.83,AAGAB,ASAH1
0.85,AAGAB,AP2A1
0.94,AAGAB,AP2A2
0.87,AAGAB,AP1G1
0.83,AAGAB,STX4
0.83,AAGAB,STXBP3
0.87,AAGAB,AP1S3
0.85,AAGAB,AP1G2
0.83,AAGAB,AP1S2
0.83,AAGAB,EDRF1
0.82,AAGAB,CCDC32
0.87,AAK1,AP2B1
0.78,AAK1,WNK1
0.87,AAMP,AEN
0.83,AAMP,RPL10
0.83,AAMP,INPP5K
0.83,AAMP,PTPRU
0.83,AAMP,ACE2
0.83,AAMP,ASAH1
0.83,AAMP,WNK1
0.96,AAR2,PRPF8
0.94,AAR2,SNRNP200
0.83,AAR2,EFTUD2
0.83,AAR2,KLHL36
0.83,AAR2,ECD
0.83,AAR2,GHDC
0.83,AAR2,SLC7A6OS
0.87,AAR2,ZNHIT2
0.79,AAR2,AAR2
0.8,AAR2,PRPF6
0.79,AAR2,SNRPE
0.79,AAR2,SNRPD1
0.79,AARS,GARS
0.79,AARS,IARS
0.82,AARS2,QRSL1
0.82,AARS2,UQCRFS1
0.82,AARS2,IARS2
0.82,AARS2,YARS2
0.82,AARS2,GRPEL1
0.82,AARS2,MRPS24
0.86,AARSD1,DYNLT1
0.83,AARSD1,HECTD1
0.82,AARSD1,POC5
0.82,AARSD1,RICTOR
0.82,AARSD1,ALKBH2
0.82,AARSD1,SASS6
0.82,AARSD1,RAD21
0.82,AARSD1,ARRB2
0.82,AARSD1,ALMS1
0.82,AARSD1,LUZP1
0.82,AARSD1,BRCA2
0.82,AARSD1,DDHD2
0.82,AARSD1,MAP3K7
0.82,AARSD1,ITPRID2
0.82,AARSD1,STIL
0.82,AARSD1,HOOK1
0.82,AARSD1,UBXN1
0.82,AARSD1,WNK1
0.82,AARSD1,PEAK1
0.82,AARSD1,BORA
0.82,AARSD1,FBXO7
0.82,AARSD1,HPS5
0.82,AARSD1,RPL23
0.82,AARSD1,FAM83H
0.82,AARSD1,TAB1
0.82,AARSD1,NPHP3
0.82,AARSD1,RIC8B
0.87,AARSD1,TRIM45
0.82,AARSD1,ERCC6L
0.82,AASDHPPT,STIL
0.9,AATF,RB1
0.79,AATF,SP1
0.84,AATF,TSG101
0.77,AATF,DAPK3
0.8,AATF,PAWR
0.76,AATF,ATM
0.77,AATF,RELA
0.85,AATF,MAPT
0.78,AATK,CDK5R1
0.88,ABCA1,SNTB2
0.88,ABCA1,SNTB1
0.84,ABCA1,SNTA1
0.77,ABCA1,XPC
0.82,ABCA1,UTRN
0.76,ABCA1,CDC42
0.79,ABCB1,CAV1
0.79,ABCB7,FECH
0.82,ABCB7,MTCH1
0.84,ABCC1,ABCC1
0.76,ABCC2,RDX
0.76,ABCC2,NFKB1
0.79,ABCC4,MPP1
0.86,ABCD1,ABCD3
0.82,ABCD1,PEX3
0.83,ABCD2,ABCD1
0.89,ABCD2,PEX19
0.82,ABCD3,PEX3
0.87,ABCD4,LMBRD1
0.82,ABCE1,HAX1
0.82,ABCF2,SIRT6
0.82,ABCF2,PTGES2
0.82,ABCF2,NUDCD1
0.82,ABCF2,GNL1
0.82,ABCF2,AHCYL2
0.82,ABCF2,AHCYL1
0.9,ABCG2,ABCG2
0.77,ABCG4,ABCG1
0.77,ABCG4,ABCG4
0.9,ABCG8,ABCG5
0.82,ABCG8,TSPAN3
0.82,ABCG8,CD320
0.82,ABCG8,NOTCH3
0.82,ABCG8,PTPRD
0.83,ABHD12,DPP9
0.83,ABHD12B,CD58
0.82,ABHD15,DNAJB4
0.82,ABHD15,HSPA8
0.82,ABHD15,HSPA2
0.82,ABHD15,STUB1
0.82,ABHD15,STIP1
0.82,ABHD15,BAG5
0.83,ABHD17A,TCTEX1D2
0.83,ABHD17A,VPS28
0.83,ABHD18,SELENOO
0.82,ABHD18,TOR1AIP2
0.82,ABHD18,LAMP2
0.82,ABHD18,HSPD1
0.82,ABHD18,MGAT5B
0.88,ABHD5,PLIN1
0.86,ABHD5,PNPLA2
0.82,ABHD5,TMEM38B
0.82,ABHD5,SKAP2
0.82,ABHD5,ZPR1
0.84,ABHD5,TRIM59
0.82,ABHD5,SARAF
0.82,ABHD5,NRAS
0.95,ABI1,SOS1
0.82,ABI1,NCF1
0.97,ABI1,EPS8
0.89,ABI1,NCK1
0.85,ABI1,ABI1
0.89,ABI1,CYFIP1
0.76,ABI1,CBL
0.79,ABI1,LCK
0.79,ABI1,LYN
0.82,ABI1,HNRNPK
0.87,ABI1,HOMER3
0.82,ABI1,BRK1
0.83,ABI1,KIAA1522
0.82,ABI1,NHSL1
0.87,ABI1,ABI2
0.9,ABI2,ABL1
0.87,ABI2,SH3KBP1
0.9,ABI2,TRIM32
0.83,ABI2,TRAF3IP1
0.9,ABI2,BRK1
0.9,ABI2,CYFIP1
0.79,ABI2,PCDH10
0.97,ABI2,NCKAP1
0.82,ABI2,WASL
0.87,ABI2,CEP44
0.82,ABI2,GRN
0.82,ABI2,KIAA1522
0.82,ABI2,CASKIN2
0.82,ABI2,NCKAP1L
0.82,ABI2,NHSL1
0.82,ABI2,SASS6
0.82,ABI2,RGPD6
0.87,ABI2,ABL2
0.82,ABI2,TNIP1
0.82,ABI2,OBSL1
0.82,ABI2,EXOC7
0.82,ABI2,CYFIP2
0.82,ABI2,RAPH1
0.87,ABI2,WASF3
0.82,ABI2,UBR3
0.82,ABI2,EPS8L1
0.82,ABITRAM,TAOK2
0.82,ABITRAM,ZHX2
0.82,ABITRAM,POTEF
0.82,ABITRAM,TAOK1
0.8,ABL1,JUN
0.9,ABL1,CBL
0.85,ABL1,PTPN6
0.96,ABL1,RAD51
0.9,ABL1,RB1
0.9,ABL1,GRB2
0.87,ABL1,ABL1
0.85,ABL1,MAP4K1
0.9,ABL1,TP73
0.79,ABL1,RAD9A
0.86,ABL1,PSTPIP1
0.79,ABL1,GPX1
0.97,ABL1,ABI1
0.9,ABL1,PIK3R1
0.88,ABL1,PLCG1
0.77,ABL1,MAPT
0.88,ABL1,YWHAZ
0.84,ABL1,YWHAE
0.84,ABL1,YWHAH
0.84,ABL1,YWHAB
0.89,ABL1,YWHAG
0.83,ABL1,SFN
0.84,ABL1,YWHAQ
0.86,ABL1,HCK
0.85,ABL1,JAK1
0.9,ABL1,BCR
0.89,ABL1,ABL2
0.97,ABL1,CRK
0.9,ABL1,MDM2
0.79,ABL1,CAT
0.78,ABL1,SPTA1
0.77,ABL1,SPTAN1
0.78,ABL1,RYBP
0.82,ABL1,EPS15
0.9,ABL1,EGFR
0.86,ABL1,ERBB2
0.78,ABL1,ERBB3
0.87,ABL1,CTNNB1
0.78,ABL1,ERBB4
0.76,ABL1,CDON
0.76,ABL1,STUB1
0.83,ABL1,PSMA7
0.77,ABL1,STAT5B
0.89,ABL1,SNCA
0.77,ABL1,ERCC6
0.79,ABL2,CAT
0.77,ABL2,HCK
0.9,ABL2,CRK
0.84,ABL2,NCK1
0.78,ABL2,GRB2
0.76,ABL2,HRAS
0.89,ABL2,EGFR
0.85,ABL2,ERBB2
0.78,ABL2,ERBB3
0.78,ABL2,ERBB4
0.79,ABL2,TRIP10
0.78,ABLIM1,ACTB
0.83,ABLIM1,SEPSECS
0.83,ABLIM1,NMT1
0.82,ABLIM1,YWHAZ
0.82,ABLIM3,BRCA1
0.77,ABRA,ACTB
0.9,ABRAXAS1,BRCA1
0.9,ABRAXAS1,UIMC1
0.83,ABRAXAS1,LAMC1
0.83,ABRAXAS1,WTAP
0.82,ABRAXAS1,PSMC5
0.82,ABRAXAS1,ALDH6A1
0.83,ABRAXAS2,TRAF7
0.82,ABRAXAS2,IGHG1
0.82,ABRAXAS2,IGHG2
0.83,ABRAXAS2,LAMC1
0.83,ABRAXAS2,THAP11
0.86,ABRAXAS2,SHMT2
0.82,ABRAXAS2,PSMC5
0.82,ABTB1,CARS
0.82,ABTB1,VARS
0.82,ABTB1,ZBTB21
0.83,ACAA1,C6orf226
0.82,ACAA1,MTHFD2
0.89,ACAA1,PEX7
0.83,ACAA1,TRAPPC9
0.82,ACAA1,CAT
0.76,ACAA2,SCP2
