Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
A4GNT,NA/N,NA/N,NA/N,NA/N
ARF5,NA/N,NA/N,NA/N,NA/N
RNF167,NA/N,NA/N,NA/N,NA/N
POTEF,NA/N,NA/N,NA/N,NA/N
DIPK1A,NA/N,NA/N,NA/N,NA/N
ICK,NA/N,NA/N,NA/N,NA/N
PRXL2A,NA/N,NA/N,NA/N,NA/N
FAM3C,NA/N,NA/N,NA/N,NA/N
ABHD14A,NA/N,NA/N,NA/N,NA/N
AAGAB,NA/N,NA/N,NA/N,NA/N
ASAH1,NA/N,NA/N,NA/N,NA/N
AP2A1,NA/N,NA/N,NA/N,NA/N
AP2A2,NA/N,NA/N,NA/N,NA/N
AP1G1,NA/N,NA/N,NA/N,NA/N
STX4,NA/N,NA/N,NA/N,NA/N
STXBP3,NA/N,NA/N,NA/N,NA/N
AP1S3,NA/N,NA/N,NA/N,NA/N
AP1G2,NA/N,NA/N,NA/N,NA/N
AP1S2,NA/N,NA/N,NA/N,NA/N
EDRF1,NA/N,NA/N,NA/N,NA/N
CCDC32,NA/N,NA/N,NA/N,NA/N
AAK1,NA/N,NA/N,NA/N,NA/N
AP2B1,NA/N,NA/N,NA/N,NA/N
WNK1,NA/N,NA/N,NA/N,NA/N
AAMP,NA/N,NA/N,NA/N,NA/N
AEN,NA/N,NA/N,NA/N,NA/N
RPL10,NA/N,NA/N,NA/N,NA/N
INPP5K,NA/N,NA/N,NA/N,NA/N
PTPRU,NA/N,NA/N,NA/N,NA/N
ACE2,NA/N,NA/N,NA/N,NA/N
AAR2,NA/N,NA/N,NA/N,NA/N
PRPF8,NA/N,NA/N,NA/N,NA/N
SNRNP200,NA/N,NA/N,NA/N,NA/N
EFTUD2,NA/N,NA/N,NA/N,NA/N
KLHL36,NA/N,NA/N,NA/N,NA/N
ECD,NA/N,NA/N,NA/N,NA/N
GHDC,NA/N,NA/N,NA/N,NA/N
SLC7A6OS,NA/N,NA/N,NA/N,NA/N
ZNHIT2,NA/N,NA/N,NA/N,NA/N
